cod_localidad,id_provincia,id_departamento,categoria,provincia,departamento,localidad,nombre,direccion,piso,cp,web,latitud,longitud,tipo_latitud_longitud,fuente,sector,pantallas,butacas,tipo_de_gestion,espacio_incaa,año_actualizacion
06371010,06,06371,Salas de cine,Buenos Aires,General San Martin,Villa Ballester,Cine Teatro Jose Hernandez,Balcarce 2973,,1653,Facebook: Cine - Teatro José Hernández,-34.550658,-58.55834,Precisa,INCAA / SInCA,Cine,1,660,Privada,No,2022
06840010,06,06840,Salas de cine,Buenos Aires,Tres de Febrero,Villa Bosch,Victor Show Cinemas,El Payador 5539,,1682,https://www.facebook.com/VictorShowCinemas/,-34.58918,-58.573161,Precisa,INCAA / SInCA,Cine,3,413,Privada,No,2022
06868020,06,06868,Salas de cine,Buenos Aires,Villa Gesell,Villa Gesell,Atlantic,Paseo 105 Entre 3 Y 2,,7165,http://cineatlantic.com.ar/,-37.25143,-56.976791,Precisa,INCAA / SInCA,Cine,1,400,Privada,No,2022
06882050,06,06882,Salas de cine,Buenos Aires,Zarate,Zarate,Cine Teatro Coliseo,19 De Marzo 314,,2800,https://es-la.facebook.com/ZarateCineTeatroColiseo/,-34.097529,-59.022145,Precisa,INCAA / SInCA,Cine,1,300,Privada,No,2022
10049030,10,10049,Salas de cine,Catamarca,Capital,Catamarca,Cinemacenter Catamarca,Av. Guemes 850,,4700,http://www.cinemacenter.com.ar/,-28.475867,-65.774581,Precisa,INCAA / SInCA,Cine,5,914,Privada,No,2022
10049030,10,10049,Salas de cine,Catamarca,Capital,Catamarca,Cines Del Solar,Intendente Mamerto Medina 220,,4700,http://www.cinemacenter.com.ar/,-28.464737,-65.800675,Precisa,INCAA / SInCA,Cine,5,743,Privada,No,2022
22140060,22,22140,Salas de cine,Chaco,San Fernando,Resistencia,Cinemacenter Avalos,Av. Avalos y Av. Lavalle,,3500,http://www.cinemacenter.com.ar/,-27.438214,-58.987038,Precisa,INCAA / SInCA,Cine,5,792,Privada,No,2022
22140060,22,22140,Salas de cine,Chaco,San Fernando,Resistencia,Cinemacenter Resistencia,Av. Dr. Sabin y Av. Nicolas Avellaneda,,3500,http://www.cinemacenter.com.ar/,-27.438747,-58.987285,Precisa,INCAA / SInCA,Cine,3,690,Privada,No,2022
22140060,22,22140,Salas de cine,Chaco,San Fernando,Resistencia,Los Cines De La Costa - Sarmiento,Av. Sarmiento 2600,,3500,http://resistencia.loscinesdelacosta.com.ar/,-27.430995,-58.962672,Precisa,INCAA / SInCA,Cine,5,820,Privada,No,2022
26021030,26,26021,Salas de cine,Chubut,Escalante,Comodoro Rivadavia,Cine Coliseo,San Martin 570,,9000,http://www.cinecr.com.ar,-45.861057,-67.482581,Precisa,INCAA / SInCA,Cine,1,380,Privada,No,2022
26021030,26,26021,Salas de cine,Chubut,Escalante,Comodoro Rivadavia,Cine Teatro Español,San Martin 668,,9000,http://www.cinecr.com.ar,-45.861071,-67.484072,Precisa,INCAA / SInCA,Cine,1,463,Privada,No,2022
